英語,日本語
Mishima-shuku Station (Mishima City Shizuoka Prefecture),三島宿（静岡県三島市）
Yukio MISHIMA,三島由紀夫
Mishima Shrine,三嶋神社
Mishima-taisha Shrine,三嶋大社
The Third General of Army,三等陸軍将
"three halls (Yakushido, Monjudo, Kyodo)",三堂（薬師堂・文殊堂・経蔵）
Mitoge fault belt,三峠断層帯
the three kleshas that poison the heart of man,三毒
Mitora,三寅
Mikka Tenka (short-lived rule),三日天下
third anniversary,三年祭
Sannen-zaka slope,三年坂
Sannoko,三之公
Sannojo,三之丞
the Sannjo family,三之丞家
Sanpa-tei,三巴亭
three cups of tea for the lord,三杯の茶（三献茶）
Sanbyoshi (triple time music),三拍子
Sanman,三幡
Sanman hime,三幡姫
the three evil passions,三煩
Samban-shotai Taicho (commander of Samban platoon),三番小隊隊長
Sanbangumi Shogakko (the Third district Elementary School),三番組小学校
leader of Sambangumi,三番隊組長
Samban-daitai Shikicho (chief commander of the third battalion),三番大隊指揮長
sanbancha （third picked tea）,三番茶
sanbanme-mono (third-category plays),三番目物
"Sanbaso, a dance dedicated to the shrine and performed as a Japanese-styled three dolls, Chitose, Okina and Sanbaso, operated by three doll handlers.",三番叟
Sanbi,三尾
"famous temple as three ""o""",三尾の名刹
Kozo MIO,三尾公三
Mitsubishi,三菱
Mitsubishi Electric Corporation,三菱（三菱電機）
a ship conscripted from Mitsubishi,三菱から徴用した船
Mitsubishi Fuso Aero Ace,三菱ふそう・エアロエース
Mitsubishi Fuso Rosa,三菱ふそう・ローザ
Mitsubishi Fuso Truck and Bus Corporation,三菱ふそうトラック・バス
Mitsubishi Zaibatsu,三菱財閥
"Kyoto factory, Mitsubishi Motors Corporation",三菱自動車工業京都製作所
the Mitsubishi Fukagawa Shinboku-en (the Mitsubishi Fukagawa Shinboku Garden),三菱深川親睦園
Mitsubishi Electric Corporation,三菱電機
"Bank of Tokyo-Mitsubishi UFJ, Ltd.",三菱東京UFJ銀行
three famous ancient calligraphers,三筆
the 299th anniversary,三百回忌
the 300th year anniversary of (his) death,三百年忌
Sanbyakuhan kashin jinmei jiten (biographical dictionary of retainers of three hundreds of domains),三百藩家臣人名事典
Sanbon,三品
MISHINA Shoei,三品彰英
Sambon (third-ranked of Imperial Prince) Mutsu-Taishu (president of Mutsu-no-kuni),三品陸奥太守
Mihama Route,三浜線
"Sampu, the Three Urban Prefectures",三府
Buddhist suppression by four emperors,三武一宗の廃仏
Sambu-kyo Sutra,三部経
Sambu-kyo Rongiki,三部経論義記
three sets of portraits,三幅の肖像画
Sampuku-tsui (triplicity),三幅対
Mitsuyuki MITSUBUCHI,三淵光行
Shugo MITSUBUCHI,三淵秋豪
Fujihide MITSUBUCHI,三淵藤英
Sambutsu-ji Temple Oku-no-in,三仏寺奥院
Nageire-do Hall of the Sanbutsu-ji Temple,三仏寺投入堂
Sambusho,三仏生
Sambun,三分（さんぶん）
Sanbun-no-ni (the position of archery with the string two-third draw),三分の二
Sanpei juku,三兵塾
Mihogaseki,三保ヶ関
Mihomisumi Station,三保三隅駅
Mihotsuhiko no okami,三穂津彦大神
Mihotsu-hime,三穂津姫
Mihotsuhime no mikoto,三穂津姫尊
"Sampo, Sambo, 3 treasures of Buddhism: Buddha, sutras and priesthood",三宝
Sanpo bell,三宝の鐘
Sanbo-in Temple,三宝院
Mansai SAMPOIN,三宝院満済
Sanpoin-ryu,三宝院流
Sanpo e,三宝絵
Sanpo-kyodan,三宝教団
Sanpo kojin,三宝荒神
Sanpoko-jinja Shrine,三宝荒神社
"the statue of Sanpo Kojin (literally, god of a cooking stove of three treasures)",三宝荒神像
Sanpo-ji Temple,三宝寺
"the statue of Sanpo Daikojin (literally, the great god of a cooking stove of three treasures)",三宝大荒神像
Miune-yama Mountain,三峰山
Sanho,三方
Mikata Interchange,三方インターチェンジ
Mikata Parking Area,三方パーキングエリア
Mikata Station,三方駅
Mikata Marine park,三方海中公園
Sanpo gakuso,三方楽所
Sanpo gakunin (musician of gagaku (old Japanese court music) belonged to Sanpo gakuso),三方楽人
Sanpo kyudai,三方及第
Mikata-gun,三方郡
Mikata-cho Mikata-gun,三方郡三方町
"Mihama Cho, Mikata Gun",三方郡美浜町
Mikatagoko Lake,三方五湖
Mikata-kaminaka-gun,三方上中郡
"Wakasa Cho, Mikatakaminaka Gun",三方上中郡若狭町
Sanpo Shomen Mamuki-no-Neko (The Cat That Sees in Three Directions: A Symbol of a Parent's Heart),三方正面真向（まむき）の猫
Mikata-cho,三方町
Kuroda Mikata-cho,三方町黒田
three manners,三法
Sanboshi,三法師
three cedar trees,三本杉
Sanbongi,三本木
Sanbongi higashi iru,三本木東入
sanma (three demons),三魔
"zammai, samadhi",三昧
"zammai, samadhi",三昧（定）
Sanmai-do,三昧堂
Samaya-e,三昧耶会（さまやえ）
Samaya-vrata,三昧耶戒
Sanma yagyo,三昧耶形
sanmaya mandala,三昧耶曼荼羅
Gai MITSUMATA,三俣凱
Mitsumata-gawa River,三俣川
Sanmanrokusenjinsai (Festival of 36000 gods),三万六千神祭
shamisen,三味線
plectrum of shamisen,三味線のバチ
tuning os Shamisen,三味線の調弦
shamisen-bako,三味線箱
Sanmen roppizo (three faces and six arms and standing on a lotus with one leg raised),三面六臂像
"Samboku-Isso (four meritorious retainers, Chikamitsu YUKI, Nagatoshi NAWA Hoki-no-kami, Masashige KUSUNOKI and Tadaki CHIGUSA)",三木一草
Miki-gun (Mino-gun),三木郡（美嚢郡)
the Miki family,三木氏
Miki-jo Castle,三木城
Mikimachi-tana (Miki-town shelf),三木町棚
Yoshiyori MITSUKI,三木良頼
Sanmon gate,三門
three Monzeki Jiin,三門跡寺院
Miyai-shoten publishing,三弥井書店
Sanyutei,三遊亭
Genkitsu SANYO,三要元佶
Genkitsu SANYO (Kanshitsu),三要元佶（閑室）
Sanryaku (an ancient Chinese strategy book),三略
Sanen-ji Temple,三緑寺
Miwa torii,三輪（みわ)鳥居
Miwa Station,三輪駅
MIWA no Sakau,三輪逆
Mt. Miwa,三輪山
the Miwa Family,三輪氏
"Sanrinshin, the three wheel-embodiments",三輪身
Yoshio MIWA,三輪善雄
triplet,三連符
Saburo,三郎
Saburo nushi,三郎主
Saburo sensei,三郎先生
6 x 3 size in shaku,三六判
Sanron Sect,三論宗
Miwa Fureai Festival,三和ふれあいフェスティバル
Sanwa Bank,三和銀行
Miwa Industrial Park,三和工業団地
Miwa-mura,三和村
Miwa-cho,三和町
Miwa Town Bus,三和町営バス
Miwa-cho Office,三和町役場
a hard-packed concrete floor,三和土（たたき）
Miwa Post Office,三和郵便局
the three delusions,三惑
the Mikuni clan,三國氏
the Sanjo family,三條家
Sanetomi SANJO,三條實美
Sanetsumu SANJO,三條實萬
mitsumata (a paper bush),三椏
70％mitsumata (70％ paper bushes),三椏七分
Mizuma County,三潴郡
Sanmyakuin,三藐院
Sanmyakuinki Diary,三藐院記
Sanmyakuin school,三藐院流
Kasamatsu Cable,傘松ケーブル
Kasamatsu Cable-shita,傘松ケーブル下
Kasamatsu Station,傘松駅
Kasamatsu Koen,傘松公園
Kasatei,傘亭
Kasa-tei (Ankankutsu),傘亭（安閑窟）
umbrella seller,傘売り
"Nagasuke TAKAKURA, Councilor",参義高倉永相
Sangi,参議
"Mitsuhiro KARASUMARU, Councilor",参議　烏丸光広
Sangiin,参議院
member of the House of Councillors,参議院議員
Upper House election,参議院議員選挙
the Upper House normal election,参議院議員通常選挙
chief of the House of Councillors,参議院議長
the official residence of the President of the House of Councillors,参議院議長公邸
Chairperson of the Liberal Party councilors in the Upper House,参議院自由党議員会長
Library of the House of Councillors,参議院図書館
Councilor Masatsune (FUJIWARA no Masatsune),参議雅経（藤原雅経）
"MINAMOTO no Toshikata, the Councilor",参議源俊賢
"Sangi, Councilor MINAMOTO no Masaakira",参議源正明
Sangu-Kaisoku (Rapid train),参宮快速
Sankinkotai,参勤交代
Sangun (commander of Sangun department of army),参軍
visiting temples,参詣
visiting temple (Mido Kanpaku-ki),参詣（御堂関白記）
visitors to temple,参詣者
railway route for visiting shrine,参詣路線
Sanshuden,参集殿
a reference,参照項
Sanshin,参進
politician,参政
Sansei (job to participate in national administration) and Ichidai-yoriai (personal-to-a person family rank),参政・一代寄合
Mikawa,参川（三河）
practice Zen ,参禅
a teacher for the practice of Zen mediation,参禅の師
go to the court,参朝
"Nara Research and Development Center, Santen Pharmaceutical Co., Ltd.",参天製薬（株）「奈良研究開発センター」
Santendai Godaisanki,参天台五台山記
Sandokai Sutra,参同契
sando,参道
sandai (a visit to the Imperial Palace),参内
visits to a shrine or temple to pray,参拝
visitors to a shrine,参拝客
a visitor to shrine or temple,参拝者
general staff,参謀
the Chief of the General Staff,参謀総長
staff headquarters,参謀本部
"Deputy Chief of Staff for Military Operations, Staff Headquarters",参謀本部作戦部長
the appointment festival (appointment of the role in the procession),参役宣状祭（行列の役柄任命）
Sanyo,参与
Sanro,参篭
Sanro,参籠
yama (festival float),山
"hilly (residential) section of a city, uptown",山の手
mountain god,山の神
Yamanouchi Station,山ノ内駅
Yamanouchi Purification Plant,山ノ内浄水場
wasabi (Japanese horseradish),山葵
Yamanoi family,山井家
yamaimo,山芋
Sanin,山陰
San'in Expressway,山陰 (自動車) 道
Kirinji (an infant prodigy) of San-in,山陰の麒麟児
Sanin-Kaigan National Park,山陰海岸国立公園
Sanin-kaido Road,山陰街道
San'in-guchi,山陰口
Sanin Jidoshado Expressway,山陰自動車道
Sanin region,山陰地方
Sanin-do Road,山陰道
Sanindo Chinbu-sotoku,山陰道鎮撫総督
San-in district,山陰方面
Sanin Main Line,山陰本線
Sanin Main Line (Sagano Line),山陰本線（嵯峨野線）
San'in Main Line (Sagano Line) Tambaguchi Station,山陰本線（嵯峨野線）丹波口駅
Sanin Main Line Enmachi Station,山陰本線円町駅
Kagekuni YAMAURA,山浦景国
Yamaura Uesugi Family,山浦氏
Sanunjo teahouse,山雲床(さんうんじょう)
Yamagoe,山越
"Amidabha Tathagata beyond the mountain picking up on purple clouds, painting",山越阿弥陀図
Yamagoe-nakacho,山越中町
Sanno-ji Temple,山王
Sannou Ichijitsu Shinto,山王一実神道
Sanno Matsuri Festival,山王祭
"Sanno Shichisha, the Seven Sanno Shrines",山王七社
Sanno-jinja Shrine,山王神社
Sanno Shinto,山王神道
Sanno torii,山王鳥居
Sanno abondeoned temple ruins,山王廃寺跡
Kagesuke YAMAOKA,山岡景佐
Kagetaka YAMAOKA,山岡景隆
Tesshu YAMAOKA,山岡鉄舟
YAMASHITA Yoshinao,山下好直
Yamaga Station,山家駅
Sange gion,山家義苑
Sankashu(Saigyo's collection of poems),山家集
Seibei YAMBE,山家清兵衛
Yamaga Domain,山家藩
Yamashina,山科
Ansho-ji Temple in Yamashina (Kyoto City),山科の安祥寺 (京都市)
Yamashina ichinomiya (shrine with the highest ranking in the area),山科一宮
Yamashina Office,山科営業所
Yamashina station,山科駅
Yamashina Station Information Center,山科駅案内所
Yamashinaeki-mae,山科駅前
Yamashinaekimae Station,山科駅前駅
Yamashina family,山科家
Yamashina Meguri Jizo,山科廻地蔵
Yamashinanomiya Imperial Prince Saneyasu,山科宮人康親王
Norioki YAMASHINA,山科教興
Noritoki YAMASHINA,山科教言
Noriyuki YAMASHINA,山科教行
Norisada YAMASHINA,山科教定
Norifuyu YAMASHINA,山科教冬
Norifuji YAMASHINA,山科教藤
Norishige YAMASHINA,山科教繁
Yamashina Ward,山科区
Yamashina Ward Office,山科区役所
Yamashina police station,山科警察署
Tokitsune YAMASHINA,山科言経
Tokitsugu YAMASHINA,山科言継
Ｔｏｋｉｔｓｕｎａ　ＹＡＭＡＳＨＩＮＡ,山科言綱
Tokikuni YAMASHINA,山科言国
Tokinao YAMASHINA,山科言縄
Yamashina Shinomiya Post Office,山科四宮郵便局
Yamashina Branch,山科支所
Sukeyuki YAMASHINA,山科資行
Sanenori YAMASHINA,山科実教
Yamashina Deiriguchi Half-intercahnge,山科出入口
Yamashina-jinja Shrine,山科神社
Yamashina Library,山科図書館
Yamashina Shoten,山科聖天
Yamashina Nishino,山科西野
"""Toyo (ramen store)"" at Yamashina Nishino",山科西野の「東洋(ラーメン店)」
Yamashina River,山科川
Yamashina Canal,山科疏水
the archbishop of Yamashina,山科僧正
Yamasina no sho,山科荘（やましなのしょう）
Yamashina-mura,山科村
Yamashina Chuo Koen-park or Yamashina Central Park,山科中央公園
Yamashina-cho,山科町
Doan YAMASHINA,山科道安
Yamashina Minami Dono,山科南殿
Yamashina-ha school,山科派
Tamashina Betsuin,山科別院
Yamashina Hongan-ji Temple,山科本願寺
Remains of Yamashina Hongan-ji Temple,山科本願寺跡
Yamashina Basin,山科盆地
Yamashina Post Office,山科郵便局
Yamashina no misasagi,山科陵
mountains and rivers,山河
Hideto Hyotoji YAMAGA,山峨兵藤次秀遠
Sengaikyo (oldest topography of China),山海経
Yamashinanomiya,山階宮
the Yamashinanomiya family,山階宮家
Yamashina no miya Prince Kikumaro,山階宮菊麿王
Yamashina no miya Imperial Prince Akira,山階宮晃親王
the family of Marquis Yamashina,山階侯爵家
Yamashina-dera Temple,山階寺
Yamashina school,山階派
Yoshimaro YAMASHINA,山階芳麿
Marquis Yoshimaro YAMASHINA,山階芳麿侯爵
mountain,山岳
mountain temple,山岳寺院
mountain ascetic practices,山岳修行
a mountain religion,山岳信仰
whole sacred mountain area,山岳聖地全体
yamakasa,山笠
Tokuhei YAMAGISHI,山岸徳平
YAMAGISHI Ryoko,山岸凉子
a house in a mountain,山居
Yamagata Prefecture,山形
Isao YAMAGATA,山形勲
Yamagata Prefecture,山形県
"(Mikaeri Amidabha Buddha) in Zenko-ji Temple, Yamagata Prefecture",山形県善光寺像
Yamagata City,山形市
domain of Yamagata,山形藩
mountain gorge,山渓
yama date hoko date (putting together yama and hoko (decorative floats)),山建て鉾建て
YAMAGATA,山県
Kuninao YAMAGATA,山県国直
the Yamagata clan,山県氏
Masakage YAMAGATA,山県昌景
Aritomo YAMAGATA,山県有朋
official residence of Aritomo YAMAGATA,山県有朋公邸
Shunkyo YAMAMOTO,山元春挙
Yamako Bus,山交バス
Yamaguchi,山口
"Yamaguchi Kikuyake Jutaku Hozonkai (Kikuyake Jutaku Preservation Foundation, Yamaguchi Prefecture)",山口・菊屋家住宅保存会
Itaro YAMAGUCHI,山口伊太郎
Hajime YAMAGUCHI,山口一
YAMAGUCHI Susumu,山口益
Kayo YAMAGUCHI,山口華楊
YAMAGUCHI no Imikitanushi,山口忌寸田主 やまぐちのいみきたぬし
Yamaguchi Gionsan Festival,山口祇園祭
Yamaguchi Prefecture,山口県
Yamaguchi Prefectural Hagi Uragami Museum,山口県立萩美術館・浦上記念館
The Yamaguchi Prefectural Museum of Art,山口県立美術館
Gendo YAMAGUCHI,山口玄洞
Takeshi YAMAGUCHI,山口剛
Yamaguchi-sai,山口祭
Yamaguchi City,山口市
"Aiofutajima, Yamaguchi City",山口市秋穂二島
House of Representatives member Shun'ichi YAMAGUCHI,山口俊一衆議院議員
Kokimi,山口小喜美
Naoyoshi YAMAGUCHI,山口尚芳
Jiro YAMAGUCHI,山口二郎（次郎とも）
Yamaguchi Domain,山口藩
Yosie YAMAGUCHI,山口美江
culture of Yamaguchi,山口文化
Yusuke YAMAGUCHI,山口祐助
Sanko-bashi Bridge,山幸橋
Yamasachihiko,山幸彦
sango,山号
mountainous areas,山国
triumphal return to Yamaguni,山国凱旋
Yamaguni-go,山国郷
Yamaguni-gokoku-jinja Shrine,山国護国神社
Yamaguni-jinja Shrine,山国神社
Yamaguni-tai platoon,山国隊
Yamakuni no Misasagi,山国陵
Tokutaro YAMANE,山根徳太郎
sansai (plants growing wilds in field and mountains),山菜
Yamasaki region,山崎
Battle of Yamasaki,山崎の合戦
ruins of the Battle of Yamazaki,山崎の合戦跡
Yamazaki-no-Shoten-san,山崎の聖天さん
battle of Yamazaki,山崎の戦い
ruins of the Battle of Yamazaki,山崎の戦い跡
Ansai YAMAZAKI,山崎闇斎
site of Yamazakino-In Temple,山崎院跡
Yamazaki Station,山崎駅
Ieharu YAMAZAKI,山崎家治
Kaya-rikyu (Kaya Imperial Villa) in Yamazaki,山崎河陽離宮
Yamazaki-bashi Bridge,山崎橋
Keijun YAMAZAKI,山崎恵純
Kataie YAMAZAKI,山崎堅家
Gonbei YAMAZAKI,山崎権兵衛
Yamazaki factory,山崎工場
Yamazaki Kassen,山崎合戦
Mt. Yamazakisan,山崎山
Sokan YAMAZAKI,山崎宗鑑
Yamazaki Shoten,山崎聖天
Yamazaki-ogi crest,山崎扇
Yamazaki Dainen-ji Temple,山崎大念寺
Susumu YAMAZAKI,山崎烝
Yamasaki-go,山埼郷　（夜末佐岐）
Yamazaki-sha,山埼杜
generic names of mountains,山々の総称
Yamashi,山師
beautiful scenery (outstanding natural beauty),山紫水明
a mountain temple,山寺
Yamaga,山鹿
Sosui YAMAGA,山鹿素水
yamaga-toro,山鹿灯籠
Hideto Hyotoji YAMAGA,山鹿兵籐次秀遠
dashi,山車
festival car (float),山車（山）
Yamanote Route,山手線
Sanshu-Meisekishi topography,山州名跡志
Sanjogatake,山上ケ岳
"YAMANOUE no Soji ki (book of secrets written by YAMANOUE no Soji, best pupil of SEN no Rikyu, a great tea master)",山上宗二記
Sanjo Zao-do,山上蔵王堂
Yamashiro,山城
Jiko-ji Temple in Yamashiro,山城の慈光寺
the Yamashiroya incident,山城屋事件
Wasuke YAMASHIROYA,山城屋和助
Yamashiro Shimogori Shugodai,山城下郡守護代
Yamashiro Kamo post office,山城加茂郵便局
Yamashiro gonno-kami(Senior Provincial Governor of Yamashiro),山城権守
Yamashiro-Takao bus stop,山城高雄バス停
the Province of Yamashiro,山城国
Yamashiro-no-kuni Yamashina-nosato,山城国 山科郷
Yamashiro province (Kyoto Prefecture),山城国（京都府）
Fukakusanosato in Yamashiro Province,山城国・深草の里
a border between Yamashiro Province nad Tamba Province,山城国・丹波国国境
the provinceial office of Yamashiro province,山城国の国官
